co,no,no2,o3,so2,pm2_5,pm10,nh3
0.22333602338845904,0.016361619523017193,0.2569392839970276,0.0176531855173266,0.1970216747232185,0.310937114907009,0.31689461249209677,0.20941084969861948
0.2962624619876094,0.09807727860972454,0.27792105608252826,0.016399809345596414,0.27132387338219244,0.3664284224695244,0.3816345545905294,0.31032471320241106
0.35095797369208026,0.1632002218524681,0.2839096035319316,0.03786608293466556,0.3531888351785436,0.4131798964870041,0.4342451166350537,0.4335990666925919
0.3947130175454408,0.16112035496394894,0.32884556541504567,0.07131886948999946,0.4646811164821456,0.4682351602934765,0.4924128980732754,0.5566789811394127
0.3947130175454408,0.10944721760029581,0.361804432399353,0.13760658110756083,0.5985498206767504,0.5030617855043891,0.5225782835845728,0.566595372350768
0.15952573099175643,0.031706415233869474,0.1760283253923154,0.24998676011086202,0.5464681116482146,0.2662331507005138,0.265881335063725,0.21427182578261716
0.12123955555373489,0.021122203734516547,0.1370809109586047,0.2828216851730895,0.47957274286605345,0.23025006161487863,0.22836178496555853,0.16507874781256077
0.11759364327684219,0.017239785542614162,0.14158324955195173,0.3004925238759334,0.5018711991267738,0.226382543083019,0.22495091677481616,0.174995139023916
0.2780315350929298,0.050563875023109627,0.361804432399353,0.18938337422987978,0.5613597380321224,0.3332701385860808,0.3524341952014908,0.4433210188605872
0.5259795146157387,0.14665372527269363,0.6404685929099095,0.054901406958885735,0.6208482769374708,0.4987392647923105,0.54568899537453,0.7635621232743535
0.7082956111136147,0.40904048807542986,0.31385234077894825,0.0010074925163102825,0.4163418057071574,0.7726505772840163,0.8110212638514525,0.7536457320629982
0.6061991432788905,0.318127195415049,0.2898981509813349,0.0008095246501516913,0.32714798066427575,0.6934043642292455,0.7229043958603707,0.5714563484347657
0.5259795146157387,0.24995378073581068,0.2839096035319316,0.0006115567839931002,0.256510213628567,0.6164710789239201,0.6399620644903663,0.46801477736729535
0.46034626608058976,0.21898687372897022,0.2839096035319316,0.00041358891783450913,0.2044285046000312,0.5531689006009822,0.5721606602109747,0.3694341823838227
0.431176236845016,0.21482713995193195,0.2898981509813349,0.0002156210516759181,0.24536098549820679,0.5067397197944908,0.5238095238095237,0.48279214466264825
0.5697359239793154,0.3718801996672213,0.3078637933295449,1.76531855173266e-05,0.36433806330890384,0.6193717178228146,0.6537220059232638,0.7044526540929418
0.7228806257314014,0.5784803105934553,0.3078637933295449,0.00259501827104701,0.4646811164821456,0.7240790945456616,0.7719543442813882,0.9113357962278825
0.23427512572935316,0.037668700314290995,0.26594396118372166,0.2903949017600226,0.7175268984874474,0.3500104271332967,0.3515024458420685,0.3989889169745285
0.16864187719420423,0.021630615640599003,0.18206058486689686,0.3333274489381609,0.6208482769374708,0.2912013953400194,0.2870952713720009,0.2881586622593817
0.15405686257641737,0.0157145498243668,0.16855356908685581,0.3535226931699825,0.6133634804303759,0.2786319601114756,0.272586602775282,0.2710480264437099
0.3254338567333992,0.04025697910889259,0.4187612012064518,0.23736473246597348,0.6728520193357244,0.3982027413881359,0.41392965292336364,0.5467625899280575
0.6207841578966774,0.12807358106858938,0.772304060847139,0.06942997863964552,0.7100421019803524,0.5968680683261609,0.6456523909354098,0.8718646704258215
